HumanGeneID,Symbol,Description,MitoCarta3.0_MitoPathways
1962,EHHADH,enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase,Metabolism > Lipid metabolism
4722,NDUFS3,NADH:ubiquinone oxidoreductase core subunit S3,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
23456,ABCB10,ATP binding cassette subfamily B member 10,Metabolism > Metals and cofactors > Heme synthesis and processing | Small molecule transport > ABC transporters
1160,CKMT2,"creatine kinase, mitochondrial 2",Metabolism > Nucleotide metabolism > Creatine metabolism
64432,MRPS25,mitochondrial ribosomal protein S25,Mitochondrial central dogma > Translation > Mitochondrial ribosome
28976,ACAD9,acyl-CoA dehydrogenase family member 9,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors
51241,COX16,cytochrome c oxidase assembly factor COX16,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
125228,FAM210A,family with sequence similarity 210 member A,0
55856,ACOT13,acyl-CoA thioesterase 13,Metabolism > Lipid metabolism
1374,CPT1A,carnitine palmitoyltransferase 1A,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Metals and cofactors > Carnitine synthesis and transport | Metabolism > Metals and cofactors > Carnitine shuttle
10901,DHRS4,dehydrogenase/reductase 4,Metabolism > Vitamin metabolism > Vitamin A metabolism
153768,PRELID2,PRELI domain containing 2,0
79587,CARS2,"cysteinyl-tRNA synthetase 2, mitochondrial",Mitochondrial central dogma > Translation > mt-tRNA synthetases
2631,NIPSNAP2,nipsnap homolog 2,Mitochondrial dynamics and surveillance > Mitophagy | Mitochondrial dynamics and surveillance > Autophagy
4713,NDUFB7,NADH:ubiquinone oxidoreductase subunit B7,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
125988,MICOS13,mitochondrial contact site and cristae organizing system subunit 13,Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex
51022,GLRX2,glutaredoxin 2,Metabolism > Metals and cofactors > Fe-S-containing proteins | Metabolism > Vitamin metabolism > Vitamin C metabolism | Metabolism > Detoxification > ROS and glutathione metabolism
10884,MRPS30,mitochondrial ribosomal protein S30,Mitochondrial central dogma > Translation > Mitochondrial ribosome
9997,SCO2,synthesis of cytochrome C oxidase 2,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors
3028,HSD17B10,hydroxysteroid 17-beta dehydrogenase 10,"Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing | Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism"
79731,NARS2,"asparaginyl-tRNA synthetase 2, mitochondrial",Mitochondrial central dogma > Translation > mt-tRNA synthetases
285367,RPUSD3,RNA pseudouridine synthase D3,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications
6821,SUOX,sulfite oxidase,Metabolism > Metals and cofactors > Molybdenum cofactor synthesis and proteins | Metabolism > Sulfur metabolism
1757,SARDH,sarcosine dehydrogenase,Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism
10247,RIDA,reactive intermediate imine deaminase A homolog,0
1351,COX8A,cytochrome c oxidase subunit 8A,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
6697,SPR,sepiapterin reductase,Metabolism > Metals and cofactors > Tetrahydobiopterin synthesis
4358,MPV17,mitochondrial inner membrane protein MPV17,Small molecule transport
284273,ZADH2,zinc binding alcohol dehydrogenase domain containing 2,Metabolism > Lipid metabolism > Eicosanoid metabolism
29074,MRPL18,mitochondrial ribosomal protein L18,Mitochondrial central dogma > Translation > Mitochondrial ribosome
219,ALDH1B1,aldehyde dehydrogenase 1 family member B1,Metabolism > Detoxification > Xenobiotic metabolism
118487,CHCHD1,coiled-coil-helix-coiled-coil-helix domain containing 1,Mitochondrial central dogma > Translation > Mitochondrial ribosome
1678,TIMM8A,translocase of inner mitochondrial membrane 8A,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting"
7419,VDAC3,voltage dependent anion channel 3,Signaling > Calcium homeostasis > Mitochondrial permeability transition pore | Small molecule transport
29957,SLC25A24,solute carrier family 25 member 24,Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > EF hand proteins | Small molecule transport > SLC25A family
51660,MPC1,mitochondrial pyruvate carrier 1,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Pyruvate metabolism | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport
79751,SLC25A22,solute carrier family 25 member 22,Small molecule transport > SLC25A family
83447,SLC25A31,solute carrier family 25 member 31,Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > Mitochondrial permeability transition pore | Small molecule transport > SLC25A family
83733,SLC25A18,solute carrier family 25 member 18,Small molecule transport > SLC25A family
51095,TRNT1,tRNA nucleotidyl transferase 1,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications
3416,IDE,insulin degrading enzyme,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
373156,GSTK1,glutathione S-transferase kappa 1,Metabolism > Detoxification > Xenobiotic metabolism
57176,VARS2,"valyl-tRNA synthetase 2, mitochondrial",Mitochondrial central dogma > Translation > mt-tRNA synthetases
3336,HSPE1,heat shock protein family E (Hsp10) member 1,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones"
116541,MRPL54,mitochondrial ribosomal protein L54,Mitochondrial central dogma > Translation > Mitochondrial ribosome
64978,MRPL38,mitochondrial ribosomal protein L38,Mitochondrial central dogma > Translation > Mitochondrial ribosome
3396,MRPL58,mitochondrial ribosomal protein L58,Mitochondrial central dogma > Translation > Mitochondrial ribosome | Mitochondrial central dogma > Translation > Translation factors
23787,MTCH1,mitochondrial carrier 1,Small molecule transport > SLC25A family
51499,TRIAP1,TP53 regulated inhibitor of apoptosis 1,Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Lipid metabolism > Phospholipid metabolism
55037,PTCD3,pentatricopeptide repeat domain 3,Mitochondrial central dogma > Translation > Mitochondrial ribosome | Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly
1352,COX10,cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Heme synthesis and processing | OXPHOS > OXPHOS assembly factors
8165,AKAP1,A-kinase anchoring protein 1,Signaling > cAMP-PKA signaling
55178,MRM3,mitochondrial rRNA methyltransferase 3,Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications | Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly
204,AK2,adenylate kinase 2,Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
54968,TMEM70,transmembrane protein 70,OXPHOS > Complex I > CI assembly factors | OXPHOS > Complex V > CV assembly factors | OXPHOS > OXPHOS assembly factors
84273,NOA1,nitric oxide associated 1,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly
63933,MCUR1,mitochondrial calcium uniporter regulator 1,0
51522,TMEM14C,transmembrane protein 14C,0
4717,NDUFC1,NADH:ubiquinone oxidoreductase subunit C1,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
51318,MRPL35,mitochondrial ribosomal protein L35,Mitochondrial central dogma > Translation > Mitochondrial ribosome
4696,NDUFA3,NADH:ubiquinone oxidoreductase subunit A3,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
23590,PDSS1,decaprenyl diphosphate synthase subunit 1,Metabolism > Metals and cofactors > Coenzyme Q metabolism
8034,SLC25A16,solute carrier family 25 member 16,Small molecule transport > SLC25A family
154791,FMC1,formation of mitochondrial complex V assembly factor 1 homolog,OXPHOS > Complex V > CV assembly factors | OXPHOS > OXPHOS assembly factors
6296,ACSM3,acyl-CoA synthetase medium chain family member 3,Metabolism > Lipid metabolism > Fatty acid oxidation
137682,NDUFAF6,NADH:ubiquinone oxidoreductase complex assembly factor 6,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors
7350,UCP1,uncoupling protein 1,Small molecule transport > SLC25A family
94081,SFXN1,sideroflexin 1,Metabolism > Amino acid metabolism > Serine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Small molecule transport > Sideroflexins
51218,GLRX5,glutaredoxin 5,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins
138428,PTRH1,peptidyl-tRNA hydrolase 1 homolog,0
64963,MRPS11,mitochondrial ribosomal protein S11,Mitochondrial central dogma > Translation > Mitochondrial ribosome
63929,XPNPEP3,X-prolyl aminopeptidase 3,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
54704,PDP1,pyruvate dehyrogenase phosphatase catalytic subunit 1,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
1632,ECI1,enoyl-CoA delta isomerase 1,Metabolism > Lipid metabolism > Fatty acid oxidation
89874,SLC25A21,solute carrier family 25 member 21,Metabolism > Amino acid metabolism | Small molecule transport > SLC25A family
123096,SLC25A29,solute carrier family 25 member 29,Metabolism > Amino acid metabolism > Lysine metabolism | Small molecule transport > SLC25A family
283130,SLC25A45,solute carrier family 25 member 45,Small molecule transport > SLC25A family
57001,SDHAF3,succinate dehydrogenase complex assembly factor 3,OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors
51012,PRELID3B,PRELI domain containing 3B,Metabolism > Lipid metabolism > Phospholipid metabolism
51629,SLC25A39,solute carrier family 25 member 39,Small molecule transport > SLC25A family
4709,NDUFB3,NADH:ubiquinone oxidoreductase subunit B3,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
25996,REXO2,RNA exonuclease 2,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay
2628,GATM,glycine amidinotransferase,Metabolism > Nucleotide metabolism > Creatine metabolism
26515,TIMM10B,translocase of inner mitochondrial membrane 10B,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting"
54938,SARS2,"seryl-tRNA synthetase 2, mitochondrial",Mitochondrial central dogma > Translation > mt-tRNA synthetases
55349,CHDH,choline dehydrogenase,"Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Metabolism > Electron carriers > Q-linked reactions, other"
78988,MRPL57,mitochondrial ribosomal protein L57,Mitochondrial central dogma > Translation > Mitochondrial ribosome
414919,C8orf82,chromosome 8 open reading frame 82,0
124454,EARS2,"glutamyl-tRNA synthetase 2, mitochondrial",Mitochondrial central dogma > Translation > mt-tRNA synthetases
9380,GRHPR,glyoxylate and hydroxypyruvate reductase,Metabolism > Amino acid metabolism > Glyoxylate metabolism
123263,MTFMT,mitochondrial methionyl-tRNA formyltransferase,Mitochondrial central dogma > Translation > fMet processing | Metabolism > Vitamin metabolism > Folate and 1-C metabolism
79810,PTCD2,pentatricopeptide repeat domain 2,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing
55862,ECHDC1,ethylmalonyl-CoA decarboxylase 1,Metabolism > Lipid metabolism
23438,HARS2,"histidyl-tRNA synthetase 2, mitochondrial",Mitochondrial central dogma > Translation > mt-tRNA synthetases
4697,NDUFA4,NDUFA4 mitochondrial complex associated,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
51079,NDUFA13,NADH:ubiquinone oxidoreductase subunit A13,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
128240,NAXE,NAD(P)HX epimerase,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism
8834,TMEM11,transmembrane protein 11,Mitochondrial dynamics and surveillance
83642,SELENOO,selenoprotein O,Metabolism > Detoxification > Selenoproteins
162417,NAGS,N-acetylglutamate synthase,Metabolism > Amino acid metabolism > Urea cycle
3295,HSD17B4,hydroxysteroid 17-beta dehydrogenase 4,Metabolism > Lipid metabolism
55471,NDUFAF7,NADH:ubiquinone oxidoreductase complex assembly factor 7,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors
4942,OAT,ornithine aminotransferase,Metabolism > Amino acid metabolism > Proline metabolism
54534,MRPL50,mitochondrial ribosomal protein L50,Mitochondrial central dogma > Translation > Mitochondrial ribosome
1349,COX7B,cytochrome c oxidase subunit 7B,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
57038,RARS2,"arginyl-tRNA synthetase 2, mitochondrial",Mitochondrial central dogma > Translation > mt-tRNA synthetases
339229,OXLD1,oxidoreductase like domain containing 1,0
51110,LACTB2,lactamase beta 2,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay
126328,NDUFA11,NADH:ubiquinone oxidoreductase subunit A11,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
54998,AURKAIP1,aurora kinase A interacting protein 1,Mitochondrial central dogma > Translation > Mitochondrial ribosome
79145,CHCHD7,coiled-coil-helix-coiled-coil-helix domain containing 7,Metabolism > Metals and cofactors > Copper metabolism
6472,SHMT2,serine hydroxymethyltransferase 2,Metabolism > Amino acid metabolism > Serine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism
10797,MTHFD2,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",Metabolism > Vitamin metabolism > Folate and 1-C metabolism
51115,RMDN1,regulator of microtubule dynamics 1,0
1373,CPS1,carbamoyl-phosphate synthase 1,Metabolism > Amino acid metabolism > Urea cycle
64928,MRPL14,mitochondrial ribosomal protein L14,Mitochondrial central dogma > Translation > Mitochondrial ribosome
51250,MTRES1,mitochondrial transcription rescue factor 1,Mitochondrial central dogma > mtRNA metabolism > Transcription | Mitochondrial central dogma > Translation
112724,RDH13,retinol dehydrogenase 13,Metabolism > Vitamin metabolism > Vitamin A metabolism
79979,TRMT2B,tRNA methyltransferase 2 homolog B,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications | Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications
64951,MRPS24,mitochondrial ribosomal protein S24,Mitochondrial central dogma > Translation > Mitochondrial ribosome
28958,COA3,cytochrome c oxidase assembly factor 3,Mitochondrial central dogma > Translation > Translation factors | OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
2936,GSR,glutathione-disulfide reductase,Metabolism > Detoxification > ROS and glutathione metabolism
2021,ENDOG,endonuclease G,Mitochondrial central dogma > mtDNA maintenance > mtDNA stability and decay | Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay | Mitochondrial dynamics and surveillance > Apoptosis
587,BCAT2,branched chain amino acid transaminase 2,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
79736,TEFM,"transcription elongation factor, mitochondrial",Mitochondrial central dogma > mtRNA metabolism > Transcription
80221,ACSF2,acyl-CoA synthetase family member 2,Metabolism > Lipid metabolism > Fatty acid oxidation
55687,TRMU,tRNA mitochondrial 2-thiouridylase,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications
56945,MRPS22,mitochondrial ribosomal protein S22,Mitochondrial central dogma > Translation > Mitochondrial ribosome
51056,LAP3,leucine aminopeptidase 3,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
2746,GLUD1,glutamate dehydrogenase 1,Metabolism > Amino acid metabolism > Glutamate metabolism | Metabolism > Amino acid metabolism > GABA metabolism
3155,HMGCL,3-hydroxy-3-methylglutaryl-CoA lyase,Metabolism > Carbohydrate metabolism > Ketone metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
2272,FHIT,fragile histidine triad diadenosine triphosphatase,Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
51650,MRPS33,mitochondrial ribosomal protein S33,Mitochondrial central dogma > Translation > Mitochondrial ribosome
80224,NUBPL,nucleotide binding protein like,OXPHOS > Complex I > CI assembly factors | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS assembly factors
57226,LYRM2,LYR motif containing 2,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors
255027,MPV17L,MPV17 mitochondrial inner membrane protein like,Small molecule transport
90480,GADD45GIP1,GADD45G interacting protein 1,Mitochondrial central dogma > Translation > Mitochondrial ribosome
7019,TFAM,"transcription factor A, mitochondrial",Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial central dogma > mtRNA metabolism > Transcription
5832,ALDH18A1,aldehyde dehydrogenase 18 family member A1,Metabolism > Amino acid metabolism > Proline metabolism
54995,OXSM,"3-oxoacyl-ACP synthase, mitochondrial",Metabolism > Lipid metabolism > Type II fatty acid synthesis
56267,KYAT3,kynurenine aminotransferase 3,Metabolism > Amino acid metabolism > Kynurenine metabolism | Metabolism > Metals and cofactors > NAD biosynthesis and metabolism
80222,TARS2,"threonyl-tRNA synthetase 2, mitochondrial",Mitochondrial central dogma > Translation > mt-tRNA synthetases
9238,TBRG4,transforming growth factor beta regulator 4,Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing | Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay
157378,TMEM65,transmembrane protein 65,0
140823,ROMO1,reactive oxygen species modulator 1,"Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway | Small molecule transport"
25824,PRDX5,peroxiredoxin 5,Metabolism > Detoxification > ROS and glutathione metabolism
29103,DNAJC15,DnaJ heat shock protein family (Hsp40) member C15,"Protein import, sorting and homeostasis > Protein import and sorting > Import motor"
79568,MAIP1,matrix AAA peptidase interacting protein 1,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones"
25994,HIGD1A,HIG1 hypoxia inducible domain family member 1A,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors | OXPHOS > Respirasome assembly
283951,C16orf91,chromosome 16 open reading frame 91,0
89941,RHOT2,ras homolog family member T2,Signaling > Calcium homeostasis > EF hand proteins | Mitochondrial dynamics and surveillance > Trafficking
9673,SLC25A44,solute carrier family 25 member 44,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Small molecule transport > SLC25A family
51179,HAO2,hydroxyacid oxidase 2,Metabolism > Lipid metabolism
5018,OXA1L,OXA1L mitochondrial inner membrane protein,"Protein import, sorting and homeostasis > Protein import and sorting > OXA | Mitochondrial central dogma > Translation"
91137,SLC25A46,solute carrier family 25 member 46,Small molecule transport > SLC25A family | Mitochondrial dynamics and surveillance > Fission | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions
57665,RDH14,retinol dehydrogenase 14,Metabolism > Vitamin metabolism > Vitamin A metabolism
9556,ATP5MPL,ATP synthase membrane subunit 6.8PL,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
11238,CA5B,carbonic anhydrase 5B,Metabolism > Amino acid metabolism > Urea cycle
80347,COASY,Coenzyme A synthase,Metabolism > Metals and cofactors > Coenzyme A metabolism
284106,CISD3,CDGSH iron sulfur domain 3,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins
2954,GSTZ1,glutathione S-transferase zeta 1,Metabolism > Detoxification > Xenobiotic metabolism
125965,COX6B2,cytochrome c oxidase subunit 6B2,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
51031,GLOD4,glyoxalase domain containing 4,0
30,ACAA1,acetyl-CoA acyltransferase 1,Metabolism > Lipid metabolism
54677,CROT,carnitine O-octanoyltransferase,Metabolism > Lipid metabolism > Fatty acid oxidation
64146,PDF,"peptide deformylase, mitochondrial","Mitochondrial central dogma > Translation > fMet processing | Protein import, sorting and homeostasis > Protein homeostasis"
90639,COX19,cytochrome c oxidase assembly factor COX19,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors
275,AMT,aminomethyltransferase,Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Amino acid metabolism > Glycine cleavage system | Metabolism > Vitamin metabolism > Folate and 1-C metabolism
55066,PDPR,pyruvate dehydrogenase phosphatase regulatory subunit,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
57486,NLN,neurolysin,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
51027,BOLA1,bolA family member 1,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins
212,ALAS2,5'-aminolevulinate synthase 2,Metabolism > Metals and cofactors > Heme synthesis and processing
134266,GRPEL2,"GrpE like 2, mitochondrial","Protein import, sorting and homeostasis > Protein import and sorting > Import motor | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis"
501,ALDH7A1,aldehyde dehydrogenase 7 family member A1,Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Metabolism > Detoxification > ROS and glutathione metabolism
27440,HDHD5,haloacid dehalogenase like hydrolase domain containing 5,0
2671,GFER,"growth factor, augmenter of liver regeneration","Protein import, sorting and homeostasis > Protein import and sorting > MIA40"
83943,IMMP2L,inner mitochondrial membrane peptidase subunit 2,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
84701,COX4I2,cytochrome c oxidase subunit 4I2,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
54148,MRPL39,mitochondrial ribosomal protein L39,Mitochondrial central dogma > Translation > Mitochondrial ribosome
51166,AADAT,aminoadipate aminotransferase,Metabolism > Amino acid metabolism > Lysine metabolism
65991,FUNDC2,FUN14 domain containing 2,Mitochondrial dynamics and surveillance > Organelle contact sites | Signaling
10434,LYPLA1,lysophospholipase 1,Metabolism > Lipid metabolism | Signaling
5161,PDHA2,pyruvate dehydrogenase E1 subunit alpha 2,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
54516,MTRF1L,mitochondrial translational release factor 1 like,Mitochondrial central dogma > Translation > Translation factors
84705,GTPBP3,"GTP binding protein 3, mitochondrial",Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications | Metabolism > Vitamin metabolism > Folate and 1-C metabolism
441024,MTHFD2L,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like,Metabolism > Vitamin metabolism > Folate and 1-C metabolism
10730,YME1L1,YME1 like 1 ATPase,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
10965,ACOT2,acyl-CoA thioesterase 2,Metabolism > Lipid metabolism
84334,COA8,cytochrome c oxidase assembly factor 8,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
326625,MMAB,metabolism of cobalamin associated B,Metabolism > Vitamin metabolism > Vitamin B12 metabolism
5498,PPOX,protoporphyrinogen oxidase,Metabolism > Metals and cofactors > Heme synthesis and processing
5825,ABCD3,ATP binding cassette subfamily D member 3,Small molecule transport > ABC transporters
23410,SIRT3,sirtuin 3,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism | Signaling
197257,LDHD,lactate dehydrogenase D,Metabolism > Carbohydrate metabolism
84311,MRPL45,mitochondrial ribosomal protein L45,Mitochondrial central dogma > Translation > Mitochondrial ribosome
91574,C12orf65,chromosome 12 open reading frame 65,Mitochondrial central dogma > Translation > Translation factors
196294,IMMP1L,inner mitochondrial membrane peptidase subunit 1,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
5428,POLG,"DNA polymerase gamma, catalytic subunit",Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial central dogma > mtDNA maintenance > mtDNA repair
64756,ATPAF1,ATP synthase mitochondrial F1 complex assembly factor 1,OXPHOS > Complex V > CV assembly factors | OXPHOS > OXPHOS assembly factors
2647,BLOC1S1,biogenesis of lysosomal organelles complex 1 subunit 1,Signaling
160428,ALDH1L2,aldehyde dehydrogenase 1 family member L2,Metabolism > Vitamin metabolism > Folate and 1-C metabolism
285521,COX18,cytochrome c oxidase assembly factor COX18,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
1371,CPOX,coproporphyrinogen oxidase,Metabolism > Metals and cofactors > Heme synthesis and processing
23530,NNT,nicotinamide nucleotide transhydrogenase,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism
284184,NDUFAF8,NADH:ubiquinone oxidoreductase complex assembly factor 8,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors
91419,ATP23,ATP23 metallopeptidase and ATP synthase assembly factor homolog,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
79877,DCAKD,dephospho-CoA kinase domain containing,0
9551,ATP5MF,ATP synthase membrane subunit f,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
81855,SFXN3,sideroflexin 3,Metabolism > Amino acid metabolism > Serine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Small molecule transport > Sideroflexins
10157,AASS,aminoadipate-semialdehyde synthase,Metabolism > Amino acid metabolism > Lysine metabolism
56616,DIABLO,diablo IAP-binding mitochondrial protein,Mitochondrial dynamics and surveillance > Apoptosis
341947,COX8C,cytochrome c oxidase subunit 8C,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
5827,PXMP2,peroxisomal membrane protein 2,0
64902,AGXT2,alanine--glyoxylate aminotransferase 2,Metabolism > Amino acid metabolism > Glyoxylate metabolism
27165,GLS2,glutaminase 2,Metabolism > Amino acid metabolism > Glutamate metabolism
79135,APOO,apolipoprotein O,Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex
84129,ACAD11,acyl-CoA dehydrogenase family member 11,Metabolism > Lipid metabolism > Fatty acid oxidation
401207,C5orf63,chromosome 5 open reading frame 63,0
112817,HOGA1,4-hydroxy-2-oxoglutarate aldolase 1,Metabolism > Amino acid metabolism > Glyoxylate metabolism
54902,TTC19,tetratricopeptide repeat domain 19,OXPHOS > Complex III > CIII assembly factors | OXPHOS > OXPHOS assembly factors
51335,NGRN,"neugrin, neurite outgrowth associated",Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications | Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly
285343,TCAIM,"T cell activation inhibitor, mitochondrial",0
2653,GCSH,glycine cleavage system protein H,Metabolism > Lipid metabolism > Lipoate insertion | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Amino acid metabolism > Glycine cleavage system
23408,SIRT5,sirtuin 5,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism
84706,GPT2,glutamic--pyruvic transaminase 2,Metabolism > Amino acid metabolism > Glutamate metabolism
